Mine,Region,Altitude,Order,Type,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,Independent_,MMU_,Order_
M1,Region1,100,3,1,101433,27.958137,17.812593,54.229296,38.924698,42.648825,0.021899,0.603642,0.038073,0.712986,49.683847,27.709019,0.020271,0.33359,0.023201,0.602338,59.900622,13.052098,0.026519,0.366381,0.04713,0.614445,26.48783466,60.07269067,0.021246689,0.820763141,0.042795483,0.80241844,100,M1#Region1,M1#Region1#100#3,0
M1,Region1,100,3,2,1572,19.3505,32.5622,48.0872,59.1949,12.0162,0.0909,0.9694,0.1342,1.8606,66.1633,1.1089,0.1275,0.7707,0.2496,2.6655,66.6914,1.6995,0.1079,0.6461,0.1135,1.9481,51.31451401,23.39140051,0.064670176,1.268285688,0.101857121,1.477366729,100,M1#Region1,M1#Region1#100#3,1
M1,Region1,100,3,3,1791,21.813674,26.167308,52.019038,49.522117,24.155686,0.150272,1.322327,0.137328,3.164602,58.070635,10.539226,0.256562,0.599741,0.101366,5.126482,60.727668,8.856785,0.163693,0.653193,0.09662,3.208527,40.30056788,37.56140731,0.098926877,1.961988315,0.172897989,2.319734719,100,M1#Region1,M1#Region1#100#3,2
M1,Region1,100,3,4,6110,28.723197,18.042276,53.234526,44.607007,34.364002,0.018599,0.829866,0.019497,0.721969,59.80737,13.546702,0.016002,0.378004,0.012693,0.366673,62.627887,9.053819,0.027457,0.58316,0.015803,0.589211,30.29776911,54.17442302,0.016989648,1.157328767,0.02439934,0.958719857,100,M1#Region1,M1#Region1#100#3,3
M1,Region1,100,5,1,16025,29.953384,18.248131,51.798427,38.983998,42.645873,0.024874,0.548689,0.066976,0.545886,49.53654,28.060883,0.02318,0.344534,0.024174,0.472782,59.619879,13.273021,0.033338,0.384957,0.141857,0.485637,25.61192216,61.42775099,0.022908981,0.724398738,0.065391573,0.609398195,100,M1#Region1,M1#Region1#100#5,4
M1,Region1,100,5,4,9986,27.908953,24.54883,47.542217,44.416133,34.979037,0.033353,0.590464,0.042777,0.45708,58.564244,14.937262,0.030226,0.537536,0.021243,0.42759,61.022544,11.374817,0.05156,0.511126,0.071088,0.367352,27.53587715,58.93244966,0.025779349,0.662478112,0.040793078,0.520761654,100,M1#Region1,M1#Region1#100#5,5
M1,Region1,100,9,1,13300,28.181499,21.012038,50.806502,40.993457,39.974644,0.027421,0.518826,0.013412,0.599847,51.930783,24.477795,0.029063,0.351071,0.013671,0.601635,59.316673,14.012281,0.035373,0.314199,0.013974,0.579104,27.34880962,59.30772813,0.023240015,0.69649053,0.013075426,0.607463876,100,M1#Region1,M1#Region1#100#9,6
M1,Region1,100,9,2,2238,19.264886,26.397169,54.337936,58.390956,13.061178,0.055079,1.206546,0.036264,2.004306,62.990613,4.751961,0.073269,1.900918,0.029587,3.031562,65.593528,2.994101,0.059834,0.92357,0.035565,2.018616,53.26118338,20.89767834,0.046329879,1.097865288,0.039049078,1.63319252,100,M1#Region1,M1#Region1#100#9,7
M1,Region1,100,9,4,2564,19.154174,22.009092,58.836761,42.346427,37.923707,0.028863,0.608094,0.012222,0.678396,56.045775,18.520592,0.028162,0.440099,0.012571,0.595566,60.370409,12.315031,0.042452,0.346248,0.012901,0.724349,31.14439829,53.81980822,0.024026928,0.76074146,0.011767803,0.688206555,100,M1#Region1,M1#Region1#100#9,8
M1,Region1,100,10,1,13091,6.836152,16.099431,77.064432,40.159383,40.043509,0.032829,1.18177,0.012828,1.110681,55.336539,16.110496,0.063933,2.098026,0.014982,2.256677,61.889369,9.348738,0.057088,0.632619,0.016314,1.293851,34.27349634,48.57892909,0.02503281,1.215232097,0.011926852,0.970763429,100,M1#Region1,M1#Region1#100#10,9
M1,Region1,100,10,2,11437,10.045082,26.281783,63.673112,55.871749,17.494497,0.043664,1.062015,0.019583,1.439514,63.238203,3.557995,0.088779,2.459602,0.030965,3.353572,65.517179,4.057788,0.045694,0.738818,0.022009,1.364924,50.72836878,25.2392811,0.035721768,0.974937395,0.016781788,1.168363408,100,M1#Region1,M1#Region1#100#10,10
M1,Region1,100,10,3,38024,17.22984,23.767831,59.002329,45.216166,33.622816,0.037783,0.719745,0.01307,0.944333,61.220395,10.437687,0.053941,0.683384,0.010719,1.370138,62.787056,8.534106,0.051205,0.630075,0.013658,1.099234,33.46456034,50.49977634,0.027621936,0.766465531,0.013532228,0.757594659,100,M1#Region1,M1#Region1#100#10,11
