Mina,Regiao,Altitude,Ordem,Tipo,Massa,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,independente_,UML_,ORDEM_
Mina_1,Regiao_3,40,2,2,7420,17.615412,38.695048,43.68954,67.054641,1.0163959999999999,0.037895,0.592662,0.908098,1.1308719999999999,64.914559,0.856999,0.070052,0.577799,2.369952,2.200088,68.005484,0.580781,0.025079,0.38100500000000004,0.678104,0.79228,67.07535877,1.4664379769999998,0.036348326,0.786079665,0.5223840270000001,0.99977533,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#2,66
Mina_1,Regiao_3,40,3,1,35722,10.766652,17.272169,64.53934,31.705076000000002,42.842815,0.042525,1.4445059999999998,0.8480129999999999,1.459655,44.319015,31.105887,0.038119,0.9175610000000001,1.6674790000000002,1.532563,49.075106,25.216116,0.031566000000000004,1.1265450000000001,1.548924,1.291177,28.59818578,54.44493065,0.05107902,1.78361263,0.621226721,1.660414061,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#3,67
Mina_1,Regiao_3,40,3,2,123558,45.18462754,26.23946147,28.57590864,58.41768084,4.668979075,0.091890883,1.34109388,4.34026297,3.913587737,56.48646248,3.32052415,0.10870648599999999,1.1770280640000002,6.621305202,4.900687834,61.06704135,2.3698418880000003,0.089903513,1.213159055,3.6103010639999997,3.572420135,59.038647700000006,8.912366151,0.067149019,1.718012796,1.403774165,2.6660436659999998,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#3,68
Mina_1,Regiao_3,40,5,1,33141,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#5,69
Mina_1,Regiao_3,40,5,2,137936,38.756888000000004,31.056012,30.187093,65.704258,1.540916,0.056198000000000005,1.299118,0.68052,1.8506650000000002,65.747947,1.1639549999999999,0.064901,1.015667,0.815175,2.2402919999999997,66.156361,1.2141469999999999,0.049678,1.102273,0.741795,1.569711,65.18306447,65.18306447,65.18306447,65.18306447,65.18306447,65.18306447,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#5,70
Mina_1,Regiao_3,40,6,1,55118,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#6,71
Mina_1,Regiao_3,40,6,2,230243,45.800807,26.322451,27.876738,65.182528,2.070567,0.059119000000000005,1.767209,0.500479,1.9124439999999998,66.502362,1.074443,0.061112,1.0305600000000001,0.539165,1.7273580000000002,65.907899,1.568802,0.052621,1.445793,0.495767,1.69203,62.32919755,4.1809264619999995,0.061960755,3.28099495,0.44136485,2.4246574819999998,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#6,72
Mina_1,Regiao_3,40,7,1,68054,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#7,73
Mina_1,Regiao_3,40,7,2,78055,68.72801207,18.38334397,12.8886519,65.97490401,1.6629329169999998,0.061931172,1.485845626,0.501512731,1.361138112,67.26549169,1.0138438459999999,0.061392875,0.8626642990000001,0.394143918,0.9485435759999999,65.77342713,1.4504699330000002,0.058019243,1.607429154,0.607448776,1.6414589590000002,59.38034071,5.427083377000001,0.070353798,4.63556048,0.922865501,3.161445895,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#7,74
Mina_1,Regiao_3,30,2,1,16180,12.063317,19.613457999999998,68.323236,36.083096999999995,44.766913,0.02744,1.248715,0.827241,1.071757,44.2752,31.990422,0.029685000000000003,0.61215,1.543441,1.151658,50.516090999999996,23.716879000000002,0.026469,0.813055,1.647132,1.0301280000000002,30.49341731,53.06550772,0.027332084,1.486177167,0.465468789,1.069617437,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#2,75
Mina_1,Regiao_3,30,2,2,8578,14.763414000000001,40.38361,44.853056,67.287717,1.070383,0.032518,0.618278,0.767981,0.8913700000000001,65.699191,1.09489,0.054362,0.83762,1.726318,1.482424,68.134598,0.573083,0.021151,0.40186700000000003,0.661521,0.618034,67.04816453,1.51008646,0.035468579,0.7409621559999999,0.548383873,0.942958636,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#2,76
Mina_1,Regiao_3,30,3,1,36259,9.04673,15.471689999999999,63.643276,28.922095000000002,41.839952000000004,0.049020999999999995,1.51083,1.042622,1.67585,42.825825,32.684909000000005,0.050522000000000004,0.908068,1.932406,1.766464,48.736511,24.594324,0.048123,1.103509,1.9891889999999999,1.7209720000000002,27.50862948,55.11639245,0.058151392,1.976563221,0.8799762870000001,1.9637255169999999,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#3,77
Mina_1,Regiao_3,30,3,2,288569,24.87753169,29.17271424,45.94974625,64.64665631,2.912650334,0.05688225,0.9824115840000001,1.06967699,1.9262946440000002,63.68913116,1.755868503,0.07867966900000001,0.835244675,2.255767835,2.894639005,66.21699745,1.2539724829999999,0.049030934000000005,0.68560535,1.097664456,1.596027464,64.16809178,4.59200771,0.050071605,1.250497845,0.409748519,1.611694823,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#3,78
Mina_1,Regiao_3,30,3,4,13217,10.662115,19.434597,69.903288,44.047775,31.891015999999997,0.042295,1.643794,1.232011,1.484756,49.915865999999994,21.964563000000002,0.035639,0.7548020000000001,2.504464,1.439838,55.999798,14.923601000000001,0.033678,0.9552430000000001,2.085416,1.1936930000000001,39.82980728,38.12234072,0.045749467,1.970781191,0.800726085,1.572505377,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#3,79
Mina_1,Regiao_3,30,5,1,9532,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#5,80
Mina_1,Regiao_3,30,5,2,317711,30.371197,28.62438,41.004424,65.626532,2.159687,0.051651,1.197343,0.677462,1.505863,65.71982,1.175876,0.057448,0.964508,1.160758,1.8584919999999998,66.578917,1.25739,0.043207999999999996,0.956413,0.657258,1.292254,64.89261895,3.5182513369999997,0.053249033,1.53799227,0.33358846600000003,1.3938080469999998,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#5,81
Mina_1,Regiao_3,30,6,1,9469,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#6,82
Mina_1,Regiao_3,30,6,2,206505,61.004714,20.079401999999998,18.915899,66.17711,1.507639,0.063902,1.270882,0.502031,1.5166979999999999,66.950872,1.018076,0.067126,0.867927,0.48297799999999996,1.349306,66.223373,1.35369,0.055286,1.227975,0.5932529999999999,1.5053889999999999,63.63252946,3.2499110019999997,0.0626082,2.6159167869999997,0.466606151,2.068626676,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#6,83
Mina_1,Regiao_3,30,7,1,16034,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#7,84
Mina_1,Regiao_3,30,7,2,71279,59.342366000000005,20.162899,20.494730999999998,66.569847,1.468759,0.054966999999999995,1.2801040000000001,0.428663,1.152519,67.86842299999999,0.82939,0.057213,0.736205,0.26766100000000004,0.7516079999999999,66.79311,1.13794,0.04402,1.157569,0.520804,1.150815,62.59019322,3.645503552,0.059255319,2.9754287639999997,0.80415171,2.315010783,100,Mina_1#Regiao_3,Mina_1#Regiao_3#30#7,85
