ID,Expression,Param_1,Param_2,Param_3
CAT_785,CONT,"['0', '0.0024', '0.15', '0.3', '0.45', '0.58', '0.66', '0.72', '0.79', '0.84', '0.9', '0.93', '0.94', '0.96', '1']","['0.001', '10.7667', '143.9', '307.8', '475.7', '671.1', '852.5', '1033.5', '1207.3', '1389.5', '1581.2', '1716', '1942.2', '2090.6', '2266.8']",nan
CAT_775,CONT,"['0', '0.003', '0.15', '0.3', '0.41', '0.52', '0.62', '0.71', '0.79', '0.85', '0.89', '0.92', '0.94', '0.96', '1']","['0.001', '6.9167', '158', '354.3', '558.5', '778.4', '984.1', '1201.6', '1401.3', '1624.6', '1835.8', '2007.2', '2195.6', '2417.6', '2574.2']",nan
