Mine,Region,Altitude,Order,Type,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,Independent_,MMU_,Order_
M1,Region5,100,3,1,77267,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#100#3,0
M1,Region5,100,5,1,92555,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#100#5,1
M1,Region5,100,5,2,10150,27.288057,35.544605,37.167338,57.383754,7.359027,0.029743,6.6147,0.136234,3.430248,57.092046,7.777088,0.03136,6.717767,0.099331,3.464459,61.864074,4.924415,0.019957,4.285967,0.059861,2.152123,53.31322441,9.380521602,0.037891831,8.766097749,0.236358906,4.62739208,100,M1#Region5,M1#Region5#100#5,2
M1,Region5,100,6,1,43781,15.19476,11.971212,11.542357,14.787544,7.241339,0.015547,6.702292,0.038737,3.15053,40.531174,17.850549,0.043359,15.478078,0.105582,7.585342,40.675924,17.581777,0.03659,15.775459,0.068666,7.295576,32.57163607,21.00303999,0.039684993,21.32938871,0.125367249,9.74313415,100,M1#Region5,M1#Region5#100#6,3
M1,Region5,100,6,2,1255,43.682807,21.484925,34.832169,63.935053,2.383947,0.078314,2.962422,0.443586,2.012877,66.079216,1.142212,0.052502,2.260241,0.183626,1.464643,65.458762,1.806628,0.050083,2.306937,0.194603,1.570887,60.30630027,4.297309094,0.128152947,4.247262161,0.923263071,2.973033243,100,M1#Region5,M1#Region5#100#6,4
M1,Region5,100,6,3,22294,34.392287,32.858557,32.74916,46.058614,14.045096,0.03578,12.944052,0.112317,6.209691,46.189948,14.398618,0.039478,12.485491,0.101576,6.180532,50.095084,11.943802,0.028661,10.672546,0.064137,5.009904,41.87079028,15.78214713,0.039090372,15.70479324,0.171930292,7.444088338,100,M1#Region5,M1#Region5#100#6,5
M1,Region5,100,7,1,25502,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#100#7,6
M1,Region5,90,2,1,19983,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#90#2,7
M1,Region5,90,3,1,70606,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#90#3,8
M1,Region5,90,3,2,2538,31.807957,33.455243,34.736843,58.648029,6.515643,0.028771,6.1376,0.084257,2.969314,66.256826,2.04407,0.032473,1.960248,0.036124,1.1796,61.373595,5.058568,0.008997,4.607805,0.057893,2.259906,49.05573219,12.01360914,0.044421317,11.43600531,0.153691415,5.291281998,100,M1#Region5,M1#Region5#90#3,9
M1,Region5,90,5,1,67117,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#90#5,10
M1,Region5,90,5,2,74444,28.993639,33.640105,37.366282,60.503102,5.57967,0.027304,4.847807,0.115371,2.571752,62.725572,4.366397,0.027775,3.706475,0.06736,1.986886,63.427117,3.998884,0.017379,3.368795,0.055524,1.733105,56.14617957,7.944247638,0.035841555,7.064930367,0.206508115,3.780516435,100,M1#Region5,M1#Region5#90#5,11
M1,Region5,90,6,1,47397,29.308639,21.180415,18.727034,25.740389,13.675249,0.027223,12.247043,0.067566,5.660357,38.978188,19.038456,0.040934,16.376346,0.097003,7.806916,38.171256,19.262511,0.036946,17.086459,0.074625,7.772629,33.27592949,21.44199608,0.039505955,20.44307102,0.124541305,9.21646847,100,M1#Region5,M1#Region5#90#6,12
M1,Region5,90,6,2,128607,18.538138,29.672173,51.789671,65.292908,1.777235,0.067829,2.023682,0.51697,1.640146,65.959803,1.158757,0.054938,2.399687,0.222943,1.532678,67.354613,0.985589,0.035523,1.202996,0.182027,0.923968,63.87298249,2.452173833,0.090972493,2.359265998,0.814086698,2.088953036,100,M1#Region5,M1#Region5#90#6,13
M1,Region5,90,6,3,32172,37.268691,31.420069,31.311204,46.017426,14.391721,0.034788,12.804799,0.106832,6.069222,45.285949,15.137891,0.037269,12.990251,0.092672,6.271593,48.566678,13.00173,0.029436,11.426506,0.066045,5.286122,44.32995698,14.89842525,0.037141077,13.96717398,0.164546752,6.614248313,100,M1#Region5,M1#Region5#90#6,14
M1,Region5,90,7,1,6851,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#90#7,15
M1,Region5,90,7,2,17494,10.628353,19.435093,69.936571,61.943227,3.641571,0.079489,3.828564,0.601436,2.435813,64.945346,1.505473,0.063468,3.310289,0.187784,1.767677,62.10612,3.854093,0.039355,4.222578,0.25263,2.256078,61.44175623,3.907138014,0.093066048,3.797840846,0.761185969,2.587286066,100,M1#Region5,M1#Region5#90#7,16
M1,Region5,90,7,3,33803,38.164173,27.66373,34.172106,50.820738,11.732859,0.030512,9.895682,0.122642,4.680206,53.772007,9.914188,0.028663,8.19809,0.11714,3.959154,52.98124,10.664262,0.026668,8.691277,0.075776,4.131999,45.77564849,14.6290867,0.035679076,12.766561,0.16670631,5.929307652,100,M1#Region5,M1#Region5#90#7,17
M1,Region5,80,2,1,15606,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#80#2,18
M1,Region5,80,2,2,292,25.1145,33.4324,41.4531,63.8051,2.5756,0.0337,3.3109,0.3974,2.056,65.9514,1.2923,0.0156,2.5733,0.152,1.4853,65.4119,1.7106,0.0197,2.5725,0.2858,1.5533,61.20886285,4.050813972,0.055935004,4.353224788,0.635934801,2.807154165,100,M1#Region5,M1#Region5#80#2,19
M1,Region5,80,2,3,4531,12.409676,36.45166,51.138756,46.424972,14.309644,0.034344,12.434692,0.298132,5.93536,58.339145,7.053794,0.036555,5.756611,0.212964,3.299735,49.499687,12.692597,0.030452,10.4128,0.281585,5.346405,41.34214853,17.22298069,0.036587467,15.49650891,0.330543456,6.994760164,100,M1#Region5,M1#Region5#80#2,20
M1,Region5,80,3,1,53034,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#80#3,21
M1,Region5,80,3,2,30359,33.127731,32.445224,34.427055,58.533539,6.763328,0.02767,6.008911,0.10118,2.952499,66.757944,1.764409,0.02857,1.563163,0.039403,0.949618,60.604563,5.652107,0.015422,4.788236,0.089043,2.485611,48.66775463,12.62080345,0.038346947,11.43729018,0.172091084,5.319808009,100,M1#Region5,M1#Region5#80#3,22
M1,Region5,80,5,1,5265,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#80#5,23
M1,Region5,80,5,2,130397,29.74111346,28.87355333,41.38534642,62.62820416,3.977891733,0.044859852,3.508706794,0.278642243,2.082374455,64.9353932,2.91145442,0.029623778,2.466502163,0.055252093,1.430677475,64.70172395,3.024663207,0.024537879,2.544325038,0.124563498,1.419241374,59.52351706,5.409290166,0.07000745,4.930499,0.546643227,3.013387194,100,M1#Region5,M1#Region5#80#5,24
M1,Region5,80,6,1,24061,40.343365,25.799205,19.356525,31.205548,17.751585,0.033643,15.2268,0.079012,7.005276,36.704379,20.785342,0.040266,17.628786,0.089837,8.222839,37.267084,20.185732,0.03792,17.358568,0.080533,7.994719,35.04345754,21.48283316,0.039267257,18.78636253,0.113651002,8.3968639,100,M1#Region5,M1#Region5#80#6,25
M1,Region5,80,6,2,190316,12.039347,27.832842,60.127815,65.716822,1.530903,0.070889,1.574544,0.785549,1.407771,67.468571,0.939046,0.045345,1.390928,0.124623,0.872059,67.993482,0.805377,0.034011,0.794608,0.165247,0.584502,64.31223145,1.985248906,0.093062382,1.972352852,1.205003255,1.896121951,100,M1#Region5,M1#Region5#80#6,26
M1,Region5,80,6,3,20391,37.681628,31.207235,31.11111,47.8685,13.636901,0.033281,11.612738,0.090044,5.507627,46.279598,14.791122,0.036783,12.455414,0.073503,5.979282,48.566004,13.217828,0.028792,11.294137,0.062879,5.229871,49.09336037,12.65935594,0.033543423,10.91168568,0.137423835,5.215042097,100,M1#Region5,M1#Region5#80#6,27
M1,Region5,80,7,1,888,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region5,M1#Region5#80#7,28
