ID,Equipment,Event,Expression,Param_1,Param_2,Param_3
1,Trucks,Mau_Tempo,CONT,"['0','0.001','0.16', '0.32', '0.48', '0.62', '0.73', '0.77', '0.83',  '1']","['0.001','2.1', '21.3', '53.3', '1454.9', '4603.7', '8309.3', '11481.6', '27667.2', '57894.4']",0
2,Trucks,Detonacao,CONT,"['0','0.001','0.17', '0.33', '0.49', '0.64', '0.72', '0.79', '0.82', '0.85','0.89','0.93','0.94','1']","['0.001','2.1', '12.8', '19.2', '36.3', '1442.1', '2993.1', '4407.5',  '5789.9','7266.1','8708.3','10124.8','14412.8','25913.6']",0
3,Loaders,Mau_Tempo,CONT,"['0','0.001','0.15', '0.3', '0.45', '0.6', '1']","['0.001','6.4', '12.8', '25.6', '130.1', '1312', '55946.7']",0
4,Loaders,Detonacao,CONT,"['0','0.001','0.19', '0.35', '0.51', '0.67', '0.8', '0.88','1']","['0.001','2.1', '10.7', '27.7', '40.5', '1365.3', '2965.3', '5717.3', '25898.7']",0
