ID,Equipment,Event,Expression,Param_1,Param_2,Param_3
1,Trucks,Mau_Tempo,CONT,"['0','0.001','0.2', '0.36', '0.53', '0.69', '0.86', '0.89', '1']","['0.001','2.1', '4.3', '12.8', '14.9', '21.3', '38.4', '53.3', '264.5']",0
2,Trucks,Detonacao,CONT,"['0','0.001','0.16', '0.28', '0.34', '0.51', '0.6', '0.69','0.79','0.83','0.87','0.89','0.9','0.91','0.93', '1']","['0.001','2.1', '2.1', '6.4', '10.7', '17.1', '21.3', '25.6', '32','36.3','40.5','44.8','55.5','61.9','81.1','83.2']",0
3,Loaders,Mau_Tempo,CONT,"['0','0.001','0.2', '0.35', '0.5', '0.6', '1']","['0.001','2.1', '2.1','14.9', '29.9', '61.9', '313.6']",0
4,Loaders,Detonacao,CONT,"['0','0.001','0.16', '0.26', '0.44', '0.48', '0.56', '0.69','0.82','0.87', '1']","['0.001','2.1', '2.1', '8.5', '14.9', '21.3', '29.9', '38.4','46.9','55.5','83.2']",0
