ID,Expressao,Param_1,Param_2,Param_3
CAT_785,CONT,"['0', '0.0026', '0.15', '0.3', '0.45', '0.61', '0.66', '0.74', '0.8', '0.84', '0.87', '0.91', '0.93', '0.95', '0.96', '1']","['0.001', '0.5667', '13.5', '27', '45.4', '66.8', '90.8', '115', '135.2', '164.9', '189.2', '213.4', '237.8', '262.9', '286.4', '304']",nan
CAT_775,CONT,"['0', '0.0032', '0.15', '0.3', '0.46', '0.59', '0.65', '0.73', '0.79', '0.83', '0.87', '0.89', '0.92', '0.95', '0.96', '1']","['0.001', '0.5167', '14.4', '27.1', '48.3', '72.2', '98.2', '121.8', '147.5', '171.5', '197.9', '214.7', '245.4', '270.8', '291.2', '301']",nan
