Mine,Region,Altitude,Order,Type,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,Independent_,MMU_,Order_
M1,Region8,100,1,3,2998,25.7764,17.5907,56.633,47.6011,24.9434,0.0645,1.8921,0.0497,4.495,50.7655,19.9466,0.0901,1.4647,0.0921,5.3224,56.0068,12.6278,0.0808,1.7516,0.0513,5.1396,43.54999955,31.04300276,0.047783672,2.130359438,0.029883114,3.918187104,100,M1#Region8,M1#Region8#100#1,0
M1,Region8,100,2,1,60093,14.585995,2.576375,4.816327,9.543608,7.335998,0.012965,0.128495,0.074284,0.675382,46.500184,28.858709,0.061952,0.461599,0.280387,3.399314,54.016738,18.138226,0.065456,0.560334,0.70908,2.930551,28.43285239,55.21561851,0.046685017,0.970084545,0.313738249,2.160626491,100,M1#Region8,M1#Region8#100#2,1
M1,Region8,100,2,2,15342,19.141001,26.471499,54.38748,58.332055,11.319048,0.079031,1.556977,0.158805,3.276818,62.219228,3.10486,0.156996,1.818231,0.162682,5.650043,64.519296,2.570339,0.082554,1.212224,0.169039,3.382937,53.95253263,18.46808058,0.049886609,1.632808447,0.152458356,2.389979353,100,M1#Region8,M1#Region8#100#2,2
M1,Region8,100,2,3,433880,31.94418544,18.35881493,49.69699441,47.51480766,24.95797457,0.08755766,2.140454889,0.245601598,4.294431273,51.41921645,19.13559873,0.119466271,1.345087816,0.35132723,5.250108033,57.84649388,9.968784103,0.10639714,1.769743987,0.328066819,4.722682669,41.18844738,34.23770877,0.060085597,2.788652766,0.147166311,3.521951482,100,M1#Region8,M1#Region8#100#2,3
M1,Region8,100,3,2,52344,26.914413,25.067788,48.017793,60.580109,7.106679,0.105823,1.763175,0.079643,4.314238,62.793216,2.024969,0.158237,1.918191,0.073895,5.982414,63.765935,2.326427,0.121618,1.439442,0.077818,4.873382,57.67646642,12.45059653,0.068195094,1.845250309,0.083813433,3.087341675,100,M1#Region8,M1#Region8#100#3,4
M1,Region8,100,3,3,91115,61.235101,13.021486,25.743422,48.334926,23.559557,0.139822,1.493329,0.26467,5.319199,50.509281,20.601586,0.158197,0.918315,0.275542,5.797653,55.218709,12.613519,0.17059,1.529389,0.293019,6.086803,39.68097757,36.13230752,0.080622556,2.842853654,0.224433282,3.792876195,100,M1#Region8,M1#Region8#100#3,5
M1,Region8,100,3,4,110614,21.45862,21.260493,57.280896,44.880172,31.046095,0.062154,1.010653,0.711994,2.683355,57.063227,11.345639,0.094925,1.009078,1.103093,4.286066,59.719411,8.376454,0.07985,0.922608,1.253222,3.490308,34.80838844,46.84037585,0.043312195,1.043915031,0.364607781,1.783440768,100,M1#Region8,M1#Region8#100#3,6
M1,Region8,50,1,1,100041,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region8,M1#Region8#50#1,7
