Mine,Region,Altitude,Order,Type,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,Independent_,MMU_,Order_
M1,Region3,100,3,3,13495,32.93814,22.478429,44.583443,47.494663,30.406733,0.025122,0.727105,0.017893,0.520235,54.764816,20.612506,0.022871,0.502974,0.007511,0.392806,62.24296,9.046485,0.033993,0.682775,0.010409,0.585851,34.68759589,48.41223577,0.02228803,0.9150597,0.029363761,0.581285656,100,M1#Region3,M1#Region3#100#3,0
M1,Region3,90,3,2,9748,79.013732,14.565996,6.420353,66.921576,2.414228,0.049734,0.767721,0.028888,0.640906,67.834002,1.312345,0.043965,0.667458,0.026356,0.547719,67.438355,1.791312,0.056265,0.707193,0.033006,0.653498,54.52039594,17.38799352,0.105921741,2.139123248,0.051528502,1.759240439,100,M1#Region3,M1#Region3#90#3,1
M1,Region3,90,3,3,24648,72.725,14.720329,12.554695,45.066341,34.235501,0.030067,0.502265,0.0119,0.318806,44.797728,34.873973,0.031206,0.341498,0.010947,0.261581,49.986851,26.790005,0.03068,0.772502,0.017267,0.305492,40.85334551,39.26661351,0.022717062,1.116545516,0.01119911,0.665886122,100,M1#Region3,M1#Region3#90#3,2
M1,Region3,80,2,1,3699,83.8236,10.5655,5.6119,39.6401,41.5391,0.0562,0.2924,0.0158,0.468,39.8285,41.3154,0.0591,0.2363,0.0143,0.4573,41.8067,38.3411,0.0469,0.4274,0.0248,0.4479,32.73886531,50.89322976,0.029494922,0.87624401,0.022496169,0.665881502,100,M1#Region3,M1#Region3#80#2,3
M1,Region3,80,2,2,403,34.2126,28.7661,37.0213,60.5962,6.1075,0.1166,3.4651,0.0928,3.3252,64.553,2.6179,0.0883,2.4476,0.0662,2.4491,62.2642,4.2041,0.1205,3.2235,0.0636,3.2537,55.64363042,10.81116733,0.139716502,4.593182941,0.140021448,4.190326853,100,M1#Region3,M1#Region3#80#2,4
M1,Region3,80,3,1,45617,83.523983,10.402735,6.073301,40.881143,40.159456,0.036258,0.346217,0.01597,0.399495,40.999263,40.054728,0.037521,0.292298,0.015037,0.385809,43.570969,36.1502,0.033942,0.474284,0.021129,0.38339,34.64921188,48.46718856,0.023068737,0.868697737,0.019925199,0.615394649,100,M1#Region3,M1#Region3#80#3,5
M1,Region3,80,3,2,18251,83.761774,12.456958,3.782231,67.385084,1.745804,0.041039,0.757503,0.02423,0.579955,67.71186,1.367318,0.038653,0.713438,0.022284,0.528757,67.552933,1.5711,0.048023,0.717954,0.028007,0.635213,59.57800802,10.70274377,0.070805539,1.863852342,0.055755519,1.531054355,100,M1#Region3,M1#Region3#80#3,6
M1,Region3,80,3,3,36980,32.129025,22.659057,45.211892,48.635176,28.591761,0.021311,0.801923,0.0054,0.523681,57.55351,16.362747,0.0187,0.628633,0.003576,0.464225,63.478246,7.139022,0.031474,0.768258,0.005495,0.58936,34.85855105,48.0336223,0.018128275,0.941952182,0.006626841,0.533009996,100,M1#Region3,M1#Region3#80#3,7
M1,Region3,70,2,1,6390,86.526979,9.164547,4.309433,40.8519,39.826906,0.056894,0.241195,0.017071,0.485981,41.169653,39.383404,0.058894,0.220576,0.0156,0.481413,43.001341,36.751242,0.050893,0.255557,0.027052,0.493983,29.89127438,55.26265761,0.029444398,0.624801214,0.024945442,0.561250964,100,M1#Region3,M1#Region3#70#2,8
M1,Region3,70,2,2,3210,68.379952,18.224233,13.395815,62.921074,8.545637,0.029462,0.82996,0.016909,0.494742,67.615006,2.035141,0.031309,0.669595,0.018458,0.397799,50.700545,26.499021,0.025446,0.667869,0.013575,0.454101,55.58542404,17.35429371,0.025550685,1.869277358,0.0136598,1.044859501,100,M1#Region3,M1#Region3#70#2,9
M1,Region3,70,3,2,52857,64.050366,18.048804,17.900826,62.704964,8.510287,0.029203,0.95557,0.018116,0.619425,67.396858,2.159287,0.031193,0.716606,0.02226,0.49376,54.994079,20.038161,0.024543,0.729966,0.011258,0.511945,53.69156548,19.61143048,0.026770929,2.038020157,0.010273481,1.177284309,100,M1#Region3,M1#Region3#70#3,10
M1,Region3,70,3,3,75864,35.618349,22.099597,42.28208,49.486982,27.277349,0.021595,0.854818,0.005432,0.559428,59.472586,13.436775,0.018815,0.67919,0.003361,0.512636,63.701347,6.841536,0.032818,0.825933,0.005045,0.610601,33.64570328,49.61785811,0.018065451,1.017859574,0.007338158,0.572134887,100,M1#Region3,M1#Region3#70#3,11
M1,Region3,70,3,4,50264,83.259902,10.502211,6.23892,43.388539,36.617814,0.042674,0.305435,0.015946,0.387987,43.511051,36.487145,0.044699,0.269795,0.015503,0.382886,47.325488,30.99256,0.038382,0.313858,0.019113,0.354477,35.11930519,47.8252793,0.022864495,0.767004202,0.016612497,0.511843107,100,M1#Region3,M1#Region3#70#3,12
M1,Region3,70,5,2,997,82.5864,11.0439,6.3698,67.1502,2.1453,0.038,0.9016,0.037,0.7037,67.6461,1.6522,0.0368,0.7794,0.0365,0.6278,67.0186,2.3365,0.0344,0.9191,0.0194,0.7022,60.94928108,8.207738491,0.06050227,2.456065,0.074139851,1.690171029,100,M1#Region3,M1#Region3#70#5,13
M1,Region3,70,5,3,386,43.1,20.9,36,51.3134,24.4591,0.0222,0.9682,0.0055,0.6361,62.54,8.76,0.019,0.76,0.003,0.59,64.22,6.15,0.036,0.96,0.004,0.66,30.37966667,53.88394444,0.0179,1.222277778,0.009261111,0.6775,100,M1#Region3,M1#Region3#70#5,14
M1,Region3,60,2,1,3730,88.99885,8.296467,2.705723,39.650368,41.536687,0.06212,0.225101,0.0186,0.522619,40.175096,40.805862,0.06308,0.21654,0.01674,0.516039,39.045412,42.334765,0.059859,0.235644,0.03184,0.549391,24.23193225,63.1121933,0.038925978,0.474981758,0.038925978,0.655010197,100,M1#Region3,M1#Region3#60#2,15
M1,Region3,60,2,2,1874,42.302676,28.821882,28.875426,55.096475,19.117557,0.029683,1.321519,0.036126,0.931828,65.939312,4.372829,0.023305,0.893871,0.024457,0.634441,37.928797,44.468274,0.027552,1.017754,0.022847,0.809974,56.34739719,15.41493665,0.041145622,2.251332611,0.066567316,1.489095933,100,M1#Region3,M1#Region3#60#2,16
M1,Region3,60,2,3,1544,43.1,20.9,36,51.3134,24.4591,0.0222,0.9682,0.0055,0.6361,62.54,8.76,0.019,0.76,0.003,0.59,64.22,6.15,0.036,0.96,0.004,0.66,30.37966667,53.88394444,0.0179,1.222277778,0.009261111,0.6775,100,M1#Region3,M1#Region3#60#2,17
M1,Region3,60,3,1,74503,21.216386,10.288224,17.721343,25.25951,12.040225,0.010928,0.476606,0.002707,0.313126,62.54,8.76,0.019,0.76,0.003,0.59,64.22,6.15,0.036,0.96,0.004,0.66,30.37966651,53.88394466,0.0179,1.222277771,0.009261111,0.677499995,100,M1#Region3,M1#Region3#60#3,18
M1,Region3,60,3,2,81145,53.40173437,23.65296773,22.94531873,59.45143842,13.0639498,0.029468143,1.141972538,0.027955799,0.786727753,67.0155518,2.82240779,0.028385513,0.788430429,0.023352313,0.564824137,45.61085625,33.43650622,0.025654311,0.929166021,0.019172012,0.711270108,56.11454205,15.89873435,0.035838529,2.184194776,0.047711033,1.380952132,100,M1#Region3,M1#Region3#60#3,19
M1,Region3,60,3,3,62247,80.045269,12.500627,7.454115,45.458251,29.743538,0.1427,2.040543,0.112927,2.380187,45.296991,31.19656,0.122951,1.458839,0.066796,1.847814,49.260132,21.604825,0.235993,2.897141,0.155581,4.015933,40.81405515,27.78898232,0.198197582,6.850601894,0.536780401,5.354027427,100,M1#Region3,M1#Region3#60#3,20
M1,Region3,60,5,1,27404,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region3,M1#Region3#60#5,21
M1,Region3,60,5,2,76143,55.71351,23.158923,21.127575,62.514184,8.764588,0.026027,1.150911,0.034846,0.681572,67.397609,2.318615,0.028055,0.806353,0.035352,0.487047,54.693851,20.364393,0.018272,0.941047,0.018383,0.586972,58.20879045,13.04762896,0.029181937,2.289561167,0.051546173,1.298235808,100,M1#Region3,M1#Region3#60#5,22
M1,Region3,50,2,1,14705,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region3,M1#Region3#50#2,23
M1,Region3,50,2,2,54612,49.06659406,23.68049386,27.25293317,60.47136553,5.422457374,0.212072222,3.566780341,0.099514836,3.858281275,63.53679481,3.263768999,0.158559897,2.413077311,0.059830449,3.000474168,60.97275502,3.776680915,0.290426555,3.84831813,0.081693612,4.486184669,54.51666088,10.73902863,0.240255227,5.399306059,0.186515917,4.8570774,100,M1#Region3,M1#Region3#50#2,24
M1,Region3,50,3,1,146017,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region3,M1#Region3#50#3,25
M1,Region3,50,3,2,148729,54.40414611,18.48463601,21.22131321,59.20786418,4.882974894,0.092783861,2.234274556,0.058969226,1.974530314,66.48039415,1.585452271,0.087704763,1.541170727,0.03667855,1.536082932,58.72837768,10.69554089,0.11929374,2.529302189,0.057234197,2.499976913,57.41418249,9.998566598,0.101865322,3.916391281,0.182787833,3.025206602,100,M1#Region3,M1#Region3#50#3,26
M1,Region3,50,3,4,73031,80.923343,12.245707,6.830986,44.818766,30.361677,0.151709,2.17617,0.1215,2.549383,44.620414,31.998101,0.129011,1.5409,0.070931,1.958381,48.096529,22.575419,0.257906,3.162466,0.170855,4.399882,41.2927653,24.93378485,0.230367552,7.933875635,0.632066117,6.233232711,100,M1#Region3,M1#Region3#50#3,27
M1,Region3,50,5,1,50438,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region3,M1#Region3#50#5,28
M1,Region3,50,5,2,85328,55.877716,22.738399,21.383851,63.111933,7.912501,0.026918,1.173122,0.03565,0.701067,67.52323,2.163099,0.027444,0.840399,0.028694,0.512553,56.013271,18.48251,0.019915,0.969787,0.021606,0.59719,59.13317128,11.69648218,0.032929251,2.258734034,0.068704705,1.304094456,100,M1#Region3,M1#Region3#50#5,29
M1,Region3,50,5,3,5363,79.071689,13.147976,7.780335,45.947662,27.83923,0.173,2.631003,0.145514,3.027746,45.694453,29.792223,0.146782,1.887197,0.085126,2.341884,49.389405,19.693216,0.287673,3.598163,0.191726,4.978908,42.70430761,21.7564171,0.246457897,8.556780745,0.681653065,6.701426352,100,M1#Region3,M1#Region3#50#5,30
M1,Region3,40,2,1,11736,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region3,M1#Region3#40#2,31
M1,Region3,40,2,2,78026,46.1068886,24.99750462,28.89562913,60.84732811,3.358960772,0.292429618,4.245503221,0.068224911,4.583378042,63.87460859,2.09351184,0.207604179,2.67553927,0.045487906,3.340202255,60.66056998,2.130937973,0.417205697,4.573290414,0.0520992,5.551120096,56.17847878,6.44052379,0.319833311,6.466991764,0.118407762,5.729832227,100,M1#Region3,M1#Region3#40#2,32
M1,Region3,40,3,1,250277,67.736892,12.635685,7.455106,41.224005,22.610566,0.151674,2.748019,0.106907,2.829704,46.575494,27.750078,0.150583,2.40328,0.074507,2.586567,50.65099,17.327313,0.26631,4.271371,0.145838,5.029945,43.93110956,21.78503793,0.215097722,7.78531556,0.509959064,5.929893074,100,M1#Region3,M1#Region3#40#3,33
M1,Region3,40,3,2,350498,42.45400517,24.66917482,32.87682076,59.88299142,5.917065348,0.171017344,4.049403963,0.081353877,3.664817834,63.42654584,2.686685421,0.16105284,2.872642451,0.062571321,3.10847792,61.16834691,3.784315563,0.216479063,3.87158456,0.066111013,4.067460109,54.34270702,1.869880402,0.027924987,1.131199447,0.040710445,0.813950308,100,M1#Region3,M1#Region3#40#3,34
M1,Region3,40,5,1,43376,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region3,M1#Region3#40#5,35
M1,Region3,40,5,2,55842,53.529061,23.334482,23.13645,64.745879,5.202694,0.034742,1.250493,0.050973,0.861524,67.413755,1.850201,0.033065,1.021038,0.030284,0.685945,62.844786,8.08585,0.032782,1.106635,0.039095,0.853585,60.49076525,10.05122423,0.040532924,1.926402639,0.110800823,1.275767819,100,M1#Region3,M1#Region3#40#5,36
M1,Region3,40,5,3,6873,71.238029,17.417405,11.344511,50.896981,17.591345,0.225191,4.540775,0.175088,4.528621,51.019124,19.190252,0.20157,3.730945,0.111804,3.831731,53.476835,11.447226,0.314279,5.164791,0.174323,6.046,46.16941676,16.98408925,0.236766927,8.668196764,0.573790775,6.575058146,100,M1#Region3,M1#Region3#40#5,37
M1,Region3,30,2,2,48318,46.21075502,25.72050724,28.06875106,61.07870235,2.879004814,0.286547032,4.313561677,0.045245871,4.615281904,64.4508865,1.253786402,0.206152961,2.657309782,0.032581162,3.337829747,60.84885831,1.879295968,0.396961665,4.506542753,0.032911482,5.5024388,55.73749756,6.470779527,0.317771901,6.863517781,0.077369209,5.905477476,100,M1#Region3,M1#Region3#30#2,38
M1,Region3,30,3,1,75109,23.044625,7.94855,12.041631,19.979954,9.199006,0.094922,2.616499,0.068662,2.288587,52.949887,13.634378,0.245607,4.773546,0.126898,5.070819,55.841195,7.941422,0.298879,5.1681,0.157141,6.088359,27.73124348,45.05864023,0.120978167,9.182077279,0.223550736,5.282527113,100,M1#Region3,M1#Region3#30#3,39
M1,Region3,30,3,3,183138,22.612,22.381,55.007,48.7177,29.4885,0.021,0.3596,0.0118,0.3569,51.74,25.78,0.023,0.28,0.01,0.393,64.06,7.85,0.029,0.29,0.014,0.419,41.23285182,39.81708001,0.016932718,0.420672823,0.011689094,0.316865435,100,M1#Region3,M1#Region3#30#3,40
M1,Region3,30,5,2,426789,33.94801862,27.24050549,38.81147105,63.42576067,4.219017456,0.085589109,2.387811174,0.040020329,2.26008716,65.02982077,1.916897499,0.086465431,2.348060745,0.040679212,2.308569634,64.09098769,3.337396872,0.097660495,2.07670091,0.029024192,2.4685401,61.55580066,6.851433807,0.076328737,2.640913579,0.047129243,2.071368366,100,M1#Region3,M1#Region3#30#5,41
